timestamp,log_return,vol
2024-01-01,-0.0123,0.0184
2024-01-02,0.0241,0.0210
2024-01-03,0.0152,0.0193
2024-01-04,-0.0087,0.0178
2024-01-05,0.0034,0.0165
2024-01-06,-0.0211,0.0220
2024-01-07,0.0098,0.0188
2024-01-08,0.0156,0.0195
2024-01-09,-0.0064,0.0172
2024-01-10,0.0019,0.0160
2024-01-11,0.0287,0.0241
2024-01-12,-0.0145,0.0205
2024-01-13,0.0073,0.0182
2024-01-14,-0.0028,0.0168
2024-01-15,0.0192,0.0214
2024-01-16,-0.0103,0.0190
2024-01-17,0.0046,0.0175
2024-01-18,0.0218,0.0228
2024-01-19,-0.0167,0.0203
2024-01-20,0.0089,0.0185
2024-01-21,0.0011,0.0162
2024-01-22,-0.0254,0.0233
2024-01-23,0.0137,0.0198
2024-01-24,0.0061,0.0177
2024-01-25,-0.0042,0.0170
2024-01-26,0.0173,0.0207
2024-01-27,-0.0118,0.0192
2024-01-28,0.0054,0.0174
2024-01-29,0.0205,0.0221
2024-01-30,-0.0089,0.0184
2024-01-31,0.0026,0.0167
2024-02-01,0.0167,0.0203
2024-02-02,-0.0073,0.0181
2024-02-03,0.0041,0.0171
2024-02-04,0.0231,0.0226
2024-02-05,-0.0152,0.0201
2024-02-06,0.0078,0.0183
2024-02-07,0.0019,0.0166
2024-02-08,-0.0193,0.0212
2024-02-09,0.0124,0.0194
2024-02-10,0.0057,0.0176
2024-02-11,-0.0038,0.0169
2024-02-12,0.0182,0.0210
2024-02-13,-0.0102,0.0188
2024-02-14,0.0046,0.0174
2024-02-15,0.0214,0.0223
2024-02-16,-0.0136,0.0198
2024-02-17,0.0091,0.0184
2024-02-18,0.0033,0.0168
2024-02-19,-0.0218,0.0228
2024-02-20,0.0145,0.0199
