timestamp,log_return
2024-01-01,-0.0094
2024-01-02,0.0187
2024-01-03,0.0112
2024-01-04,-0.0063
2024-01-05,0.0028
2024-01-06,-0.0176
2024-01-07,0.0081
2024-01-08,0.0134
2024-01-09,-0.0049
2024-01-10,0.0015
2024-01-11,0.0231
2024-01-12,-0.0117
2024-01-13,0.0058
2024-01-14,-0.0021
2024-01-15,0.0162
2024-01-16,-0.0084
2024-01-17,0.0037
2024-01-18,0.0181
2024-01-19,-0.0135
2024-01-20,0.0072
2024-01-21,0.0009
2024-01-22,-0.0209
2024-01-23,0.0118
2024-01-24,0.0049
2024-01-25,-0.0034
2024-01-26,0.0142
2024-01-27,-0.0096
2024-01-28,0.0044
2024-01-29,0.0173
2024-01-30,-0.0071
